currentStage,count
IDO,801
IEO,168
ICO,137
Private Sale,36
Seed Sale,14
IFO,12
IGO,3
SHO,3
Presale,2
Public Sale,2
Launchpool,2
Seed SHO,2
IIO,2
FTO,2
INO,2
Initial Airdrop Offering,1
Balancer Liquidity Bootstrapping Pool,1
Strong Holder Offering,1
Community Round 3,1
Community Round 2,1
Community Round,1
Liquidity Bootstrapping Pool,1
Public Pre-Sale,1
TGE,1
Staking Mining,1
DPO(Direct Public Offering),1
Initial Cap Offering,1
Community Distribution,1
ITO,1
NFT Sales,1
Token Launch Auction,1
IBO,1
IDO + IEO,1
Crowdpooling,1
Liquidity Drop Bootstrapping (LDB),1
Burning drop,1
ITO(Initial Twitter Offering),1
Public Token Offering,1
IMO,1
Crowdloan,1
SCO,1
ILO,1
Public Sale for Acala Treasury,1
Grants,1
Community Event,1
SIO,1
Launchpad,1
